<<<<<<< HEAD
"Maria", 1985, "maria@example.com", "Madrid", 4, "Arte", "Musica", "Gastronomía", "Deportes", "Cine"
"Carlos", 1992, "carlos@example.com", "Barcelona", 3, "Musica", "Viajes", "Deportes", "", ""
"Sofia", 1988, "sofia@example.com", "Sevilla", 5, "Gastronomía", "Viajes", "Arte", "Cine", "Libros"
"Juan", 1990, "juan@example.com", "Valencia", 2, "Deportes", "Musica", "", "", ""
"Laura", 1995, "laura@example.com", "Malaga", 4, "Cine", "Libros", "Musica", "Viajes", ""
"Pedro", 1982, "pedro@example.com", "Bilbao", 1, "Deportes", "", "", "", ""
"Ana", 1998, "ana@example.com", "Zaragoza", 5, "Arte", "Gastronomía", "Libros", "Cine", "Musica"
"Antonio", 1987, "antonio@example.com", "Murcia", 3, "Viajes", "Deportes", "Gastronomía", "", ""
"Marta", 1993, "marta@example.com", "Granada", 2, "Musica", "Cine", "", "", ""
"David", 1991, "david@example.com", "Alicante", 4, "Libros", "Arte", "Musica", "Deportes", ""
=======
"Maria", 1985, "maria@example.com", "Madrid", 4, "Arte", "Musica", "Gastronomía", "Deportes", "Cine"
"Carlos", 1992, "carlos@example.com", "Barcelona", 3, "Musica", "Viajes", "Deportes", "", ""
"Sofia", 1988, "sofia@example.com", "Sevilla", 5, "Gastronomía", "Viajes", "Arte", "Cine", "Libros"
"Juan", 1990, "juan@example.com", "Valencia", 2, "Deportes", "Musica", "", "", ""
"Laura", 1995, "laura@example.com", "Malaga", 4, "Cine", "Libros", "Musica", "Viajes", ""
"Pedro", 1982, "pedro@example.com", "Bilbao", 1, "Deportes", "", "", "", ""
"Ana", 1998, "ana@example.com", "Zaragoza", 5, "Arte", "Gastronomía", "Libros", "Cine", "Musica"
"Antonio", 1987, "antonio@example.com", "Murcia", 3, "Viajes", "Deportes", "Gastronomía", "", ""
"Marta", 1993, "marta@example.com", "Granada", 2, "Musica", "Cine", "", "", ""
"David", 1991, "david@example.com", "Alicante", 4, "Libros", "Arte", "Musica", "Deportes", ""
>>>>>>> origin/master
